sk_Datadecadastro,Datadecadastro,ANO,MES,DIA
c8f54713-14ed-4a9a-8b6f-44524edd072c,30/09/2019,2019,9,30
e1361748-9799-479e-b560-7baf5ef78470,27/12/2019,2019,12,27
3234b843-5be4-48e0-a80b-71856db4b8ed,12/03/2020,2020,3,12
f9c6c919-6d27-4bdd-8a5d-26875279adcf,23/05/2020,2020,5,23
d2392c09-1664-4e6a-9637-aa6744cfe102,27/05/2020,2020,5,27
bd7ec0a2-7b2c-4368-a8fe-3716bb3055a5,13/06/2020,2020,6,13
eb0c521f-f049-449a-b37a-ff1eabfcb1fc,25/06/2020,2020,6,25
707f6564-cbb3-4f74-b26f-d685e301b97a,29/06/2020,2020,6,29
3a033c18-d75f-4712-958a-065bda7cf61a,05/10/2020,2020,10,5
d039b1c1-83bc-44b4-b164-a597d6c4496d,23/12/2020,2020,12,23
b5335e42-59d2-4787-b4bd-f2c13d0b43ec,21/02/2021,2021,2,21
ae7bbe42-2b68-4fa2-9a0e-0ee153102fe8,20/03/2021,2021,3,20
25348165-f6ed-42d2-8925-52212e587a07,01/05/2021,2021,5,1
c2293eba-3315-408f-a83e-0b09b75d99ce,17/09/2021,2021,9,17
08256566-79f0-4431-8f66-9b76130fa674,18/10/2021,2021,10,18
6d53de1f-b336-4828-86ce-eb1cff68c69d,20/10/2021,2021,10,20
de6a5a67-1259-4d1a-a2c5-50b609487a27,11/12/2021,2021,12,11
4ff88c56-eab6-4a22-8e4a-38e125a66438,06/01/2022,2022,1,6
c983c7a8-c52d-44c7-bb6b-9a40d18d66c7,28/01/2022,2022,1,28
6cd1ad10-f16f-48f0-9630-96cf296624a0,23/02/2022,2022,2,23
f99bae1c-d18f-4ac3-a7f6-9ea80d439b35,28/03/2022,2022,3,28
eec12faa-12da-497d-bb8c-fa44b51c3676,30/03/2022,2022,3,30
05f26624-e40d-4f96-a685-718e95cc6297,12/04/2022,2022,4,12
b7fead54-9f8e-41b5-a405-0d3d384ed59a,27/04/2022,2022,4,27
6ab62701-591d-4548-8cbc-894d6211be5d,17/05/2022,2022,5,17
094d2d81-f660-4e33-815e-77f0dc247b46,19/05/2022,2022,5,19
f7a04747-69d2-47d8-9f96-ee6c22ddd14c,25/07/2022,2022,7,25
ddea16b8-9d35-4e8a-8d1b-628443934003,01/08/2022,2022,8,1
fd9fadba-6dba-4422-bf55-5052abd6b954,11/09/2022,2022,9,11
2c666678-05e8-4888-b7d1-e8824fa424ce,15/11/2022,2022,11,15
ef2dbacd-ba17-478b-910e-a8f83a3dea7c,24/01/2023,2023,1,24
2f109da1-d475-4e95-9d6b-24c5e94486c0,01/02/2023,2023,2,1
2d084e99-2922-410e-82d6-c2d3bc04b004,25/06/2023,2023,6,25
991de462-f294-44bc-bc36-f3c89d2b965c,08/07/2023,2023,7,8
9c74b370-3ba6-41e9-aaab-00ec25399d0b,24/02/2019,2019,2,24
a9419c30-d972-42d9-a634-8c007be3bcf7,27/07/2019,2019,7,27
e65686d5-e80e-475e-9a46-184a45ac648d,21/08/2019,2019,8,21
b74825f9-f2ce-4968-bb93-2ab6c67906af,30/08/2019,2019,8,30
591d49a3-34fd-43f2-8a2e-fc2be3508ea8,14/09/2019,2019,9,14
caf67b78-0eeb-4e29-b744-c7da2e97c1ee,16/09/2019,2019,9,16
7c9f5ec3-0ef1-400a-9d42-4d12dd72b526,24/09/2019,2019,9,24
892eec8f-a411-471a-8603-ff8c0de7f0e4,09/03/2020,2020,3,9
d86801ec-0e63-4e95-9976-35607a8b5906,30/04/2020,2020,4,30
7769803d-0719-49cf-aee1-8ec5b6229c85,23/08/2020,2020,8,23
56127848-b0b4-4191-9a1b-8b74adf36c22,26/12/2020,2020,12,26
aecd5997-32b2-4048-ad43-b96939aa8285,30/12/2020,2020,12,30
bce6adba-3dfe-4cf0-bae4-ee47d598c437,04/02/2021,2021,2,4
99372434-b3e3-4a69-baf7-b67da71a90c3,04/04/2021,2021,4,4
b780a558-a15c-4043-b70c-02f6e75430c1,15/12/2021,2021,12,15
81e51ce7-82f9-4bc8-834e-243f53a359c8,17/02/2022,2022,2,17
9fdcbd4a-6676-4ca0-a909-d7d74f1bf996,31/05/2022,2022,5,31
d88a85b2-b4ad-4e75-a942-d6860fcbbd0d,05/06/2022,2022,6,5
ed45fac3-0c08-4678-b6bf-f23b2f2a5257,09/07/2022,2022,7,9
fafe054a-8c9a-494e-8882-c2f664f22a1d,30/01/2023,2023,1,30
c33c8825-424c-4f1a-a709-94401356ef2b,07/02/2023,2023,2,7
3e28d851-885a-4a82-ae13-b53f7dccff17,25/02/2023,2023,2,25
bfc8d36d-84c5-4977-80bf-9807f80ded34,12/08/2023,2023,8,12
332faa25-026d-47dd-9fb0-10f1ec996478,20/08/2023,2023,8,20
55cfb6e3-c8a8-420e-8dd6-4c9d6be8375a,03/10/2023,2023,10,3
c398c52c-115c-4c19-a657-ccc3b6fac997,30/10/2023,2023,10,30
0fc3eaff-4d64-47ad-b4b5-9a83f961adb8,12/11/2023,2023,11,12
f01525f9-1418-4d86-a39f-e71f0f4637c4,23/11/2023,2023,11,23
f1528f5d-0afc-4f1d-9943-2dbc78d5ab26,24/11/2023,2023,11,24
3a826c39-d7de-4f7d-8a90-482d53af2a6a,17/12/2023,2023,12,17
54a4e4b0-225b-47fa-b623-7941f243e76d,26/01/2019,2019,1,26
d464a980-424d-4536-aa13-4fd409aa7ef2,31/01/2019,2019,1,31
09e8a0ff-0846-48bf-bd9d-ff11c4c57830,13/02/2019,2019,2,13
b70ba088-78a6-41eb-b9fa-6871f333064e,25/02/2019,2019,2,25
f841a70e-c3f0-411d-a80b-0ce7ef99e7c8,27/09/2019,2019,9,27
bf64843b-25b2-497d-9e3f-48d6f522628a,09/12/2019,2019,12,9
59546c4f-63a2-42c1-97dd-08fef2445619,14/12/2019,2019,12,14
22bfdfd8-5eb1-4479-8d3b-877a1039062b,01/01/2020,2020,1,1
0cdabf3c-d61d-4eb1-baa6-f41c3b90eeda,18/02/2020,2020,2,18
36b1701b-bd49-41b9-bf50-66b719ad6450,14/03/2020,2020,3,14
d18690f6-d6ee-4926-ba1b-e4b32c41bb52,26/03/2020,2020,3,26
d09fd076-a1a8-4084-b597-e33f838a42e4,11/04/2020,2020,4,11
039825c2-649f-42d1-8295-c1e38ed81859,21/07/2020,2020,7,21
c9bb86b7-1a61-42b2-810b-4c7e12c6ba26,23/07/2020,2020,7,23
34ab391a-09f7-4654-aef2-019917f91375,25/07/2020,2020,7,25
2575e855-6272-4587-8439-92d616de6d6f,14/08/2020,2020,8,14
7d410102-0312-4b5b-9e03-07d31cf71c49,17/10/2020,2020,10,17
446c856a-7cb1-49d6-b564-5b368f14e9cb,29/10/2020,2020,10,29
3a79b08e-a5db-459b-8e63-d6cef0ba70df,17/12/2020,2020,12,17
defa663a-2bb9-48d9-8640-6234c4348f1d,01/01/2021,2021,1,1
5b63fb4e-d008-467f-b061-890cf117f1be,16/02/2021,2021,2,16
d9a19829-8733-4d13-b785-8731d78a13ea,05/04/2021,2021,4,5
39c2992d-7a3d-44d0-918d-25bcc98521c7,17/04/2021,2021,4,17
5a129557-001d-49ad-a2f5-c73c6b826364,22/04/2021,2021,4,22
280b0c70-addd-4db9-8bb0-cd1aa8bb2cf1,03/06/2021,2021,6,3
2615d936-ddc7-4d74-9b23-11796e5b2b86,27/08/2021,2021,8,27
16b7e549-a5a6-46ac-b945-0b1110de87ba,20/09/2021,2021,9,20
bbb5e333-f6b5-4ed5-ad5a-ebfd10de9341,09/10/2021,2021,10,9
75f7d5d1-d36c-441e-a191-5a4b48b88f9d,29/10/2021,2021,10,29
e4536891-cd6f-4805-8dcd-a3bd91d962b9,23/01/2022,2022,1,23
e26b768f-92c1-45bb-83e7-11aec7541de8,24/01/2022,2022,1,24
02bc8ff2-7668-46d9-8778-ef68e9a97317,09/04/2022,2022,4,9
7feaeba3-4382-435b-9012-9d92f990d223,04/06/2022,2022,6,4
26b4c473-ac7b-4cd6-82f0-9745ba34df74,13/07/2022,2022,7,13
bca71daf-5fd7-4121-b9bf-49737d237b15,20/08/2022,2022,8,20
bf10d14c-e91d-4416-a4bb-3f1f10c90965,02/09/2022,2022,9,2
e0638755-1b1a-4fa4-a6c4-6953d6e4c853,27/11/2022,2022,11,27
9451ed29-386a-4cf3-bc96-daa3f8400e76,23/03/2023,2023,3,23
c494fecc-a6b8-43a7-80ef-c8c42c908b86,15/09/2023,2023,9,15
07b7121a-2ea6-46c3-b485-d9f997b1a121,15/10/2023,2023,10,15
15d88893-c73c-44a4-b8eb-f1f53a88dde7,29/10/2023,2023,10,29
ce3f4ca9-febf-4138-ad02-ac7b9544603d,19/02/2019,2019,2,19
6b6b3b44-bed6-4fc5-8266-cfff45332413,21/03/2019,2019,3,21
57d58cfb-c515-4004-9bae-07f5e0a14b06,29/04/2019,2019,4,29
f178237a-a37c-42d4-b6c8-022e38d8835c,01/06/2019,2019,6,1
4e03e2ba-3351-4f9e-bfd6-8bbcb64379b7,02/08/2019,2019,8,2
fc99d431-9a03-4ed8-8c3a-983999655d95,12/11/2019,2019,11,12
